Sensor Type,median,iqr,count
Event Camera; Thermal camera; LiDAR; IMU,0.02,0.009999999999999998,5
LiDAR; Thermal camera; Radar; IMU,0.03,0.0,3
LiDAR; Thermal camera; IMU,0.04,0.0025000000000000022,4
Event Camera; LiDAR; IMU,0.04,0.0,5
LiDAR; UWB; Monocular camera; IMU,0.04,0.0,3
LiDAR; Monocular camera; IMU,0.05,0.015,12
LiDAR; Monocular camera; IMU; UWB,0.05,0.0025000000000000022,4
LiDAR; IMU,0.055,0.019999999999999997,14
Event Camera; Thermal camera; IMU,0.065,0.012500000000000011,4
Stereo camera; IMU,0.07,0.014999999999999986,11
Thermal camera; LiDAR; IMU,0.07,0.0050000000000000044,3
Radar; Event Camera; IMU,0.07,0.0,5
Event Camera; IMU,0.08,0.03,15
Monocular camera; IMU,0.12,0.04000000000000001,51
Event Camera,0.14,0.007500000000000007,6
Monocular camera,0.18,0.07,7
